,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kelapa Sawit,1.67,103.53,77.0,94,20,1.12,MY,1598811320
1,Gisborne,-38.65,178.0,43.0,92,0,3.0,NZ,1598811304
2,Mangan,27.52,88.53,76.24,59,98,0.67,IN,1598811320
3,Cascais,38.7,-9.42,72.0,46,0,27.51,PT,1598811180
4,Port Alfred,-33.59,26.89,52.0,68,32,12.06,ZA,1598811321
5,Nome,64.5,-165.41,52.0,76,20,10.29,US,1598811321
6,Cape Town,-33.93,18.42,48.99,66,6,2.24,ZA,1598811301
7,Westport,41.14,-73.36,78.01,47,75,9.17,US,1598811321
8,Bathsheba,13.22,-59.52,87.8,70,40,14.99,BB,1598811322
9,Hithadhoo,-0.6,73.08,82.24,76,11,12.64,MV,1598811322
10,Avarua,-21.21,-159.78,73.4,73,21,8.05,CK,1598811322
11,Opuwo,-18.06,13.84,61.39,28,1,6.46,NA,1598811322
12,Carnarvon,-24.87,113.63,62.6,88,0,9.17,AU,1598811323
13,Orativ,49.19,29.53,75.2,50,0,8.95,UA,1598811323
14,Rikitea,-23.12,-134.97,69.22,83,70,19.75,PF,1598811323
15,Constitución,-35.33,-72.42,55.87,53,0,14.88,CL,1598811323
16,Ushuaia,-54.8,-68.3,28.4,86,75,25.28,AR,1598811324
17,Touros,-5.2,-35.46,84.2,54,20,16.11,BR,1598811315
18,Deputatsky,69.3,139.9,27.48,99,5,2.42,RU,1598811324
19,Puerto Ayora,-0.74,-90.35,75.2,60,20,13.87,EC,1598811324
20,Vaini,-21.2,-175.2,75.2,88,20,9.17,TO,1598811324
21,Kapaa,22.08,-159.32,80.01,74,40,16.11,US,1598811325
22,Las Vegas,36.17,-115.14,97.0,14,1,5.82,US,1598810730
23,Port Hedland,-20.32,118.57,62.6,59,0,3.36,AU,1598811325
24,Bengkulu,-3.8,102.27,76.78,85,86,4.09,ID,1598811325
25,Arrondissement du Havre,49.58,0.33,60.8,72,75,13.87,FR,1598811325
26,Atuona,-9.8,-139.03,78.58,79,48,22.68,PF,1598811326
27,Taltal,-25.4,-70.48,59.7,63,45,5.01,CL,1598811326
28,Bambous Virieux,-20.34,57.76,71.6,83,75,14.99,MU,1598811326
29,Mataura,-46.19,168.86,45.0,72,47,11.01,NZ,1598811326
30,Yellowknife,62.46,-114.35,53.6,58,20,16.11,CA,1598811327
31,Rio do Sul,-27.21,-49.64,81.0,74,0,7.0,BR,1598811327
32,Butaritari,3.07,172.79,82.49,74,37,11.52,KI,1598811308
33,Steinbach am Taunus,50.17,8.57,63.0,87,40,4.7,DE,1598811327
34,Aklavik,68.22,-135.01,46.4,81,90,4.7,CA,1598811327
35,Srednekolymsk,67.45,153.68,37.2,88,13,6.08,RU,1598811328
36,Noumea,-22.28,166.46,69.01,82,78,3.36,NC,1598811246
37,Salalah,17.02,54.09,77.0,94,90,3.36,OM,1598811328
38,Flinders,-34.58,150.86,64.0,81,58,1.01,AU,1598811328
39,Namatanai,-3.67,152.43,79.02,85,57,7.2,PG,1598811328
40,Bredasdorp,-34.53,20.04,42.8,81,46,2.24,ZA,1598811329
41,Dunedin,-45.87,170.5,47.03,73,100,7.43,NZ,1598811139
42,Arraial do Cabo,-22.97,-42.03,89.6,55,0,9.17,BR,1598811183
43,Mar del Plata,-38.0,-57.56,59.0,26,0,23.04,AR,1598811299
44,Ürümqi,43.8,87.6,75.0,45,0,4.47,CN,1598811329
45,Kruisfontein,-34.0,24.73,48.0,79,92,8.41,ZA,1598811330
46,Ilulissat,69.22,-51.1,46.4,61,5,5.82,GL,1598811330
47,Manakara,-22.13,48.02,68.63,89,4,7.14,MG,1598811330
48,Avera,33.19,-82.53,89.6,70,75,4.7,US,1598811331
49,Bonavista,48.65,-53.11,55.99,79,100,1.99,CA,1598811331
50,São Filipe,14.9,-24.5,79.32,78,41,9.64,CV,1598811331
51,Leningradskiy,69.38,178.42,35.33,91,100,10.13,RU,1598811331
52,Mildura,-34.2,142.15,42.8,93,0,6.93,AU,1598811331
53,Gladstone,-23.85,151.25,60.8,82,77,4.7,AU,1598811332
54,Albany,42.6,-73.97,73.0,44,22,1.01,US,1598811332
55,Acaraú,-2.89,-40.12,87.66,51,55,22.26,BR,1598811332
56,Akureyri,65.68,-18.09,60.8,59,75,24.16,IS,1598811332
57,Matara,5.95,80.54,80.1,84,89,9.82,LK,1598811293
58,Chokurdakh,70.63,147.92,41.38,81,100,7.14,RU,1598811333
59,Tiarei,-17.53,-149.33,78.01,65,20,4.7,PF,1598811333
60,Kargasok,59.06,80.86,55.09,93,40,5.19,RU,1598811333
61,Baykit,61.67,96.37,50.54,87,55,2.17,RU,1598811334
62,Honiara,-9.43,159.95,75.2,100,20,2.24,SB,1598811280
63,Laguna,38.42,-121.42,77.0,56,1,3.36,US,1598811334
64,Angoche,-16.23,39.91,75.78,72,0,15.48,MZ,1598811334
65,Souillac,-20.52,57.52,71.6,83,75,14.99,MU,1598811334
66,Quthing,-30.4,27.7,39.43,57,0,2.28,LS,1598811335
67,London,51.51,-0.13,61.0,48,69,8.79,GB,1598810767
68,New Norfolk,-42.78,147.06,44.01,74,91,1.01,AU,1598811335
69,Hay River,60.82,-115.8,53.6,66,20,8.05,CA,1598811335
70,Fairbanks,64.84,-147.72,54.0,76,1,5.82,US,1598811078
71,Sharan,54.82,54.0,57.85,89,56,6.11,RU,1598811336
72,Rawson,-43.3,-65.1,52.52,50,9,21.12,AR,1598811336
73,Bilibino,68.05,166.44,40.01,82,100,4.18,RU,1598811336
74,Zheleznodorozhnyy,55.75,38.0,68.0,88,57,4.47,RU,1598811336
75,Longyearbyen,78.22,15.64,41.0,75,75,21.92,SJ,1598811337
76,Forbes,-33.38,148.02,51.01,79,30,6.11,AU,1598811337
77,Saint-Philippe,-21.36,55.77,68.0,77,29,4.7,RE,1598811337
78,Nouadhibou,20.93,-17.03,80.6,65,0,20.8,MR,1598811177
79,Jamestown,42.1,-79.24,70.0,63,75,8.05,US,1598811292
80,Punta Arenas,-53.15,-70.92,35.6,47,75,21.92,CL,1598811338
81,Hong Kong,22.29,114.16,84.0,79,95,3.0,HK,1598811338
82,Lompoc,34.64,-120.46,63.0,87,90,3.36,US,1598811232
83,Lavrentiya,65.58,-171.0,44.8,77,74,17.65,RU,1598811338
84,San Juan,-31.54,-68.54,59.81,33,18,3.09,AR,1598811338
85,Kavieng,-2.57,150.8,82.22,75,90,7.18,PG,1598811339
86,Narsaq,60.92,-46.05,53.6,58,99,1.12,GL,1598811339
